,utterenaces
s-5,"['they do they are located in the centre would you like me to make you a reservation', 'what day and time would you like those reservations', 'it is in the north area would you like a reservation', 'most definitely would you like to go ahead and book a reservation', 'of course what day would you like your reservation to begin', 'what time would you like to make the reservation for', 'would you like me to book a reservation for you', 'there are no reservations available at that time would you like to adjust this', 'i found alexander bed and breakfast do you want to make a reservation', 'what time would you like the reservation to be for']"
s-6,"['yes the arrival time is 1727', 'the travel time on tr8224 is 38 minutes', 'yes travel is exactly 49 minutes', 'the travel time of that train is 79 minutes', 'the travel time is 51 minutes', 'the total travel time is 79 minutes can i do anything else for you today', 'duration for this particular trip is 50 minutes', 'the travel time is 79 minutes', 'at 2016 a train leaves for cambridge duration of which is 79 minutes', 'the departure time will be at 1146 with a travel time of 1 hour 10 minutes the price is in the cheap range']"
s-7,"['there is no entrance fee would you like the phone number', 'the entrance fee is free', 'no entrance fee and the post code is cb13ef', 'broughton house gallery was great the last time i was there and i think you ll enjoy it as well it even has no entrance fee', 'the entrance fee for that is unknown according to our system is there anything else i can help you with', 'the system is not saying whether there is an entrance fee for the boats i can provide phone numbers if you would like to call them', 'i have the broughton house gallery in the centre the entrance fee is free', 'no fee s it is free admission', 'i do not know the entrance fee you can call 08451962320 for more information', 'cineworld cinema is a cinema and there is no information available on the entrance fee the phone number is 00872208000 if you d like to call them to find out']"
s-8,"['there are several colleges in either the centre or west part of town which area do you prefer', 'there are 13 colleges in the center of town does entrance fee matter to you', 'there are no colleges in the north however christ s college in the centre is nice with no entrance fee would you like the address', 'it is a college situated in the west do you need the address', 'sure there are 5 colleges in the west part of town how about clare college', 'i have 5 colleges in the west area queens college magdalene college clare hall clare college and churchill college is there any other information that you need', 'there are 13 colleges in the centre area many of them are free i would suggest king s college or trinity college', 'education is a core of industry in cambridge we have 18 college any preference by area', 'how about christ s college', 'there are 13 colleges to visit in the city centre if i may recommend something gonville and caius college is quite lovely this time of year and their entrance fee is free']"
s-9,"['okay your ticket has been booked would you like the reference number', 'sure thing will you be needing a reference number', 'i am sorry i went to get the reference number and now the system is not providing a reference number i can look for another restaurant', 'i will bnook that and get you the reference number', 'will you be needing the reference number', 'will you be needing a reference number', 'yes i will book it for you and get a reference number', 'yes would you like a reference number', 'can you book it for me and get a reference number', 'do you need the reference number for the reservation at the restaurant']"
s-10,"['your booking is complete a red ford will be picking you up', 'booked car type white bmw is there anything else i can help with', 'okay you have a car that will come get you it will be a blue bmw', 'i have you booked in a grey audi', 'your booking is complete a red toyota will be picking you up', 'you are booked for a black skoda is there anything else', 'ok we can get you a blue honda at 1700 from the restaurant to the hotel', 'i ve booked you a grey lexus', 'i have you leaving by that time in the black honda may i help with anything else', 'you got the blue toyota enjoy the ride']"
s-11,"['do you have a preference of type of lodging star rating or internet', 'do you have a preference in stars', 'no it has 4 stars', 'no but i do have a 0 star want to live on the wild side and give it a try', 'i have quite a few guesthouses to choose from do you have an area of preference and a star rating you d like to look at', 'it has a rating of 3 stars', 'perhaps with different criteria i have nothing for 0 stars expensive in the centre', 'yes it is rated 4 stars', 'no i am afraid i have none with a 3 star rating in that area would you like to try another area or stars', 'okay i have 9 guesthouses that fit your needs are you looking for a particular star rating']"
s-12,"['we have 19 that match your search now do you have any other preferences', 'there are 7 options available would you like to narrow it down by area', 'there are 325 matches for your search would you like to narrow down your selection by specifying a departure site or destination', 'there are 13 to choose from are you looking for one with free admission', 'sure i have 5 options for you', 'yes i have 9 options for you', 'ok there are nine places in that area do you have a type in mind', 'would you like a recommendation or would you like to narrow the search first', 'there are 19 entries found where would you be coming from', 'you re in luck i have 10 results that match that description what area of town are you looking for']"
s-13,"['there s nothing matching that do you have any other criteria', 'i m afraid i did nt find any would you like to look in another area', 'i m sorry i do nt have anything that matches that criteria', 'i just doublechecked and it s not listed here i m terribly sorry', 'i am terribly sorry there are nt any another type perhaps', 'i m sorry it does nt look like they have anything available would you like to try somewhere else', 'i m afraid that s all we ve got', 'i m sorry could you please repeat your request there seems to be an error', 'i m sorry there s no matching results', 'sorry i am not able to find it']"
s-14,"['yes and they are a number without', 'alright i ll fix it for you', 'i can help with that what sort of information do you need', 'would you like me to suggest one for you', 'i will work on looking for one and let you know shortly', 'let me see what i can find', 'no thank you that will be all', 'what are would you like to look in', 'sure what would you like to know', 'sure what type of information']"
s-15,"['yes that is correct is there anything else i can help you with', 'it is free can i help you with anything else', 'do you need any further assistance', 'is there anything else i can help you with', 'i can help you with that are there any other requirements you are looking for', 'are you sure there is nothing else', 'do you need any further assistance', 'great is there anything else i can assist you with', 'is there anything else i can help you with', 'anything else i can look up for you']"
s-16,"['i am happy i have been of help welcome any time', 'your welcome i m glad i could help', 'i m glad i could help', 'i am glad i can help enjoy', 'no problem glad you could help', 'you are very welcome i m glad i could assist', 'glad i could help enjoy', 'okay glad i could be of help', 'thank you for allowing me to help you', 'yeah no problem happy to help']"
s-17,"['you are welcome thank you for calling cambridge towninfo centre goodbye', 'thank you for using the cambridge towninfo centre goodbye for now', 'you re very welcome thank you for using cambridge towninfo goodbye', 'thank you for using the cambridge towninfo centre goodbye', 'it s my pleasure thank you for using cambridge towninfo centre goodbye', 'have a good trip thank you for using cambridge towninfo centre goodbye', 'you are welcome it was my pleasure serving you from the cambridge towninfo centre goodbye', 'thank you for using the cambridge towninfo centre goodbye', 'you are welcome thanks for using towninfo centre goodbye', 'great thanks for using cambridge towninfo goodbye']"
s-18,"['you re welcome have a nice stay in cambridge goodbye', 'you are welcome have a nice time in cambridge bye', 'you are welcome enjoy your stay in cambridge good bye', 'i m glad we could be of service today enjoy your time in cambridge', 'thank you enjoy your stay in cambridge', 'you re welcome good bye and please come back to the cambridge restaurant system if you need further assistance', 'enjoy your visit to cambridge and gave a good day', 'you re welcome hope you enjoy your stay at the alyesbray lodge guest house and your visit to the cambridge museum of technology', 'have a wonderful day and enjoy your trip to cambridge artworks', 'you re very welcome text us back anytime and have a wonderful visit in cambridge']"
s-19,"['thank you for contacting us have a nice day', 'thank you for calling enjoy your stay', 'thank you for contacting us and have a nice day', 'thank you for calling have a great day goodbye', 'thank you for contacting us and have a nice day', 'thank you for contacting us have a great day', 'okay thank you for calling', 'you re welcome thanks for contacting us goodbye', 'thank you for contacting us and have a nice day', 'thank you for calling i hope you enjoy your trip goodbye']"
s-20,"['thanks for inquiring with us have a nice day', 'thanks for inquiring from us have a great day', 'great day and thanks for inquiring from us', 'thank you for your inquiry glad to be of service', 'thanks for inquiring with us have a good day', 'thank you for inquiring with us', 'thanks for inquiring with us', 'thanks for inquiring with us', 'thank for inquiring with us']"
s-21,"['it was a pleasure to assist you thank you for using our service goodbye', 'goodbye and thank you for using our service', 'thank you for using our service goodbye', 'you re welcome and thanks for using our help desk goodbye', 'thank you for using our service please feel free to reach out if you need anything else goodbye', 'you are welcome thank you for using our service goodbye', 'thank you for using this service good bye', 'it was my pleasure to assist you thanks for using our service have a wonderful day goodbye', 'thank you for using this service goodbye', 'thank you for using our service have a wonderful evening goodbye']"
s-22,"['welcome again next timeenjoy the journey', 'welcome at your service next time', 'welcome at your service next time', 'welcome next time', 'welcome at your service next time', 'welcome at your service next time', 'welcome all the time', 'welcome at your service next time', 'welcome at your service next time', 'welcome all the time']"
s-23,"['thank you for using this system', 'thank you for using this system', 'thank you for choosing our system good bye', 'thank you for using our system', 'thank you for using our system today', 'thank you for using the system goodbye', 'thank you for using our system', 'great thank you for using our system', 'thank you for using this system', 'thank you for using our system']"
s-24,"['outstanding have a good rest of your day', 'great have a good day', 'great have an awesome day', 'wonderful have a great day', 'great hope you have a fantastic day', 'great have a great day', 'great have a good day', 'great have a nice day', 'great have a good day', 'great hope you have a good day']"
s-25,"['thank you so much', 'thank you you too', 'thanks a lot welcome again', 'thank you you do the same', 'thank you', 'you as well', 'thanks again have thank you for all of your help today', 'thank you take care', 'thank you', 'you re welcome you do the same']"
s-26,"['you are more than welcome', 'you are most welcome', 'you re welcome', 'you re welcome', 'you are more than welcome', 'it is my pleasure', 'you are welcome any time', 'okay you are welcome', 'you re welcome', 'you are welcome']"
s-27,"['no problem good bye', 'no problem goodbye', 'no problem goodbye', 'no problem goodbye', 'no problem bye', 'you re welcome goodbye', 'you are very welcome goodbye', 'you re welcome goodbye', 'you re welcome goodbye', 'youre welcome goodbye']"
