utterance_id,Source,Target
8-MUL2242,u-31,s-39
9-MUL2242,s-39,u-57
10-MUL2242,u-57,s-42
11-MUL2242,s-42,u-1
12-MUL2242,u-1,s-39
13-MUL2242,s-39,u-42
14-MUL2242,u-42,s-45
15-MUL2242,s-45,u-70
16-MUL2242,u-70,s-0
0-SNG01234,u-70,s-70
1-SNG01234,s-70,u-75
2-SNG01234,u-75,s-62
0-MUL1558,u-29,s-54
1-MUL1558,s-54,u-17
2-MUL1558,u-17,s-1
3-MUL1558,s-1,u-12
4-MUL1558,u-12,s-54
5-MUL1558,s-54,u-66
6-MUL1558,u-66,s-0
7-MUL1558,s-0,u-58
8-MUL1558,u-58,s-66
9-MUL1558,s-66,u-56
10-MUL1558,u-56,s-22
0-WOZ20346,u-64,s-1
1-WOZ20346,s-1,u-77
2-WOZ20346,u-77,s-44
0-SNG0214,u-52,s-61
1-SNG0214,s-61,u-57
2-SNG0214,u-57,s-34
0-PMUL4566,u-48,s-35
1-PMUL4566,s-35,u-56
2-PMUL4566,u-56,s-24
3-PMUL4566,s-24,u-78
4-PMUL4566,u-78,s-54
5-PMUL4566,s-54,u-68
6-PMUL4566,u-68,s-30
7-PMUL4566,s-30,u-57
8-PMUL4566,u-57,s-34
9-PMUL4566,s-34,u-28
10-PMUL4566,u-28,s-43
0-PMUL4935,u-14,s-46
1-PMUL4935,s-46,u-30
2-PMUL4935,u-30,s-34
3-PMUL4935,s-34,u-57
4-PMUL4935,u-57,s-45
5-PMUL4935,s-45,u-57
6-PMUL4935,u-57,s-45
7-PMUL4935,s-45,u-14
8-PMUL4935,u-14,s-26
9-PMUL4935,s-26,u-70
10-PMUL4935,u-70,s-40
11-PMUL4935,s-40,u-29
12-PMUL4935,u-29,s-43
13-PMUL4935,s-43,u-1
14-PMUL4935,u-1,s-5
15-PMUL4935,s-5,u-46
16-PMUL4935,u-46,s-62
17-PMUL4935,s-62,u-32
18-PMUL4935,u-32,s-26
19-PMUL4935,s-26,u-14
20-PMUL4935,u-14,s-57
21-PMUL4935,s-57,u-48
22-PMUL4935,u-48,s-61
23-PMUL4935,s-61,u-57
24-PMUL4935,u-57,s-52
0-SNG0278,u-23,s-31
1-SNG0278,s-31,u-63
2-SNG0278,u-63,s-30
3-SNG0278,s-30,u-49
4-SNG0278,u-49,s-1
5-SNG0278,s-1,u-0
6-SNG0278,u-0,s-4
7-SNG0278,s-4,u-34
8-SNG0278,u-34,s-61
0-SNG0435,u-56,s-66
1-SNG0435,s-66,u-72
2-SNG0435,u-72,s-0
3-SNG0435,s-0,u-9
4-SNG0435,u-9,s-13
5-SNG0435,s-13,u-80
6-SNG0435,u-80,s-54
0-SNG02320,u-18,s-1
1-SNG02320,s-1,u-57
2-SNG02320,u-57,s-34
3-SNG02320,s-34,u-57
4-SNG02320,u-57,s-71
5-SNG02320,s-71,u-31
6-SNG02320,u-31,s-42
7-SNG02320,s-42,u-77
8-SNG02320,u-77,s-46
9-SNG02320,s-46,u-78
10-SNG02320,u-78,s-45
0-PMUL1578,u-70,s-50
1-PMUL1578,s-50,u-33
2-PMUL1578,u-33,s-66
3-PMUL1578,s-66,u-53
4-PMUL1578,u-53,s-66
5-PMUL1578,s-66,u-51
6-PMUL1578,u-51,s-17
7-PMUL1578,s-17,u-7
8-PMUL1578,u-7,s-37
9-PMUL1578,s-37,u-29
10-PMUL1578,u-29,s-42
11-PMUL1578,s-42,u-7
12-PMUL1578,u-7,s-12
0-PMUL3140,u-14,s-11
1-PMUL3140,s-11,u-70
2-PMUL3140,u-70,s-12
3-PMUL3140,s-12,u-30
4-PMUL3140,u-30,s-66
5-PMUL3140,s-66,u-11
6-PMUL3140,u-11,s-54
7-PMUL3140,s-54,u-58
8-PMUL3140,u-58,s-54
9-PMUL3140,s-54,u-74
10-PMUL3140,u-74,s-35
11-PMUL3140,s-35,u-5
12-PMUL3140,u-5,s-55
13-PMUL3140,s-55,u-32
14-PMUL3140,u-32,s-67
0-PMUL4652,u-40,s-40
1-PMUL4652,s-40,u-74
2-PMUL4652,u-74,s-17
3-PMUL4652,s-17,u-82
4-PMUL4652,u-82,s-61
5-PMUL4652,s-61,u-60
6-PMUL4652,u-60,s-66
7-PMUL4652,s-66,u-0
8-PMUL4652,u-0,s-37
9-PMUL4652,s-37,u-53
10-PMUL4652,u-53,s-1
11-PMUL4652,s-1,u-57
12-PMUL4652,u-57,s-27
13-PMUL4652,s-27,u-82
14-PMUL4652,u-82,s-24
15-PMUL4652,s-24,u-32
16-PMUL4652,u-32,s-57
17-PMUL4652,s-57,u-82
18-PMUL4652,u-82,s-61
19-PMUL4652,s-61,u-30
20-PMUL4652,u-30,s-71
21-PMUL4652,s-71,u-69
22-PMUL4652,u-69,s-57
0-MUL2454,u-35,s-30
1-MUL2454,s-30,u-51
2-MUL2454,u-51,s-1
3-MUL2454,s-1,u-47
4-MUL2454,u-47,s-3
5-MUL2454,s-3,u-5
6-MUL2454,u-5,s-47
7-MUL2454,s-47,u-66
8-MUL2454,u-66,s-33
9-MUL2454,s-33,u-35
10-MUL2454,u-35,s-4
11-MUL2454,s-4,u-5
12-MUL2454,u-5,s-35
13-MUL2454,s-35,u-79
14-MUL2454,u-79,s-66
15-MUL2454,s-66,u-69
16-MUL2454,u-69,s-66
0-PMUL4080,u-35,s-9
1-PMUL4080,s-9,u-47
2-PMUL4080,u-47,s-66
3-PMUL4080,s-66,u-70
4-PMUL4080,u-70,s-6
5-PMUL4080,s-6,u-35
6-PMUL4080,u-35,s-30
7-PMUL4080,s-30,u-44
8-PMUL4080,u-44,s-54
9-PMUL4080,s-54,u-81
10-PMUL4080,u-81,s-57
0-PMUL2173,u-26,s-54
1-PMUL2173,s-54,u-71
2-PMUL2173,u-71,s-5
3-PMUL2173,s-5,u-14
4-PMUL2173,u-14,s-57
5-PMUL2173,s-57,u-18
6-PMUL2173,u-18,s-5
7-PMUL2173,s-5,u-57
8-PMUL2173,u-57,s-0
9-PMUL2173,s-0,u-57
10-PMUL2173,u-57,s-57
11-PMUL2173,s-57,u-30
12-PMUL2173,u-30,s-12
0-MUL0589,u-44,s-13
1-MUL0589,s-13,u-70
2-MUL0589,u-70,s-1
3-MUL0589,s-1,u-48
4-MUL0589,u-48,s-53
5-MUL0589,s-53,u-75
6-MUL0589,u-75,s-5
7-MUL0589,s-5,u-10
8-MUL0589,u-10,s-35
9-MUL0589,s-35,u-57
10-MUL0589,u-57,s-57
11-MUL0589,s-57,u-67
12-MUL0589,u-67,s-57
13-MUL0589,s-57,u-42
14-MUL0589,u-42,s-39
15-MUL0589,s-39,u-9
16-MUL0589,u-9,s-39
17-MUL0589,s-39,u-23
18-MUL0589,u-23,s-45
19-MUL0589,s-45,u-58
20-MUL0589,u-58,s-12
21-MUL0589,s-12,u-75
22-MUL0589,u-75,s-22
23-MUL0589,s-22,u-57
24-MUL0589,u-57,s-54
0-PMUL3432,u-70,s-18
1-PMUL3432,s-18,u-30
2-PMUL3432,u-30,s-66
3-PMUL3432,s-66,u-20
4-PMUL3432,u-20,s-0
5-PMUL3432,s-0,u-23
6-PMUL3432,u-23,s-66
7-PMUL3432,s-66,u-14
8-PMUL3432,u-14,s-61
9-PMUL3432,s-61,u-30
10-PMUL3432,u-30,s-69
11-PMUL3432,s-69,u-72
12-PMUL3432,u-72,s-24
13-PMUL3432,s-24,u-49
14-PMUL3432,u-49,s-71
0-MUL0862,u-2,s-57
1-MUL0862,s-57,u-30
2-MUL0862,u-30,s-18
3-MUL0862,s-18,u-57
4-MUL0862,u-57,s-66
5-MUL0862,s-66,u-38
6-MUL0862,u-38,s-22
7-MUL0862,s-22,u-57
8-MUL0862,u-57,s-57
0-MUL2588,u-5,s-31
1-MUL2588,s-31,u-18
2-MUL2588,u-18,s-1
3-MUL2588,s-1,u-75
4-MUL2588,u-75,s-0
5-MUL2588,s-0,u-65
6-MUL2588,u-65,s-43
7-MUL2588,s-43,u-35
8-MUL2588,u-35,s-53
9-MUL2588,s-53,u-57
10-MUL2588,u-57,s-61
11-MUL2588,s-61,u-28
12-MUL2588,u-28,s-31
13-MUL2588,s-31,u-35
14-MUL2588,u-35,s-31
0-PMUL3194,u-48,s-36
1-PMUL3194,s-36,u-57
2-PMUL3194,u-57,s-1
3-PMUL3194,s-1,u-20
4-PMUL3194,u-20,s-54
5-PMUL3194,s-54,u-57
6-PMUL3194,u-57,s-57
7-PMUL3194,s-57,u-15
8-PMUL3194,u-15,s-55
9-PMUL3194,s-55,u-12
10-PMUL3194,u-12,s-61
11-PMUL3194,s-61,u-57
12-PMUL3194,u-57,s-53
13-PMUL3194,s-53,u-35
14-PMUL3194,u-35,s-42
0-PMUL2468,u-56,s-65
1-PMUL2468,s-65,u-21
2-PMUL2468,u-21,s-66
3-PMUL2468,s-66,u-20
4-PMUL2468,u-20,s-65
5-PMUL2468,s-65,u-2
6-PMUL2468,u-2,s-50
7-PMUL2468,s-50,u-36
8-PMUL2468,u-36,s-1
9-PMUL2468,s-1,u-47
10-PMUL2468,u-47,s-66
11-PMUL2468,s-66,u-69
12-PMUL2468,u-69,s-61
13-PMUL2468,s-61,u-35
14-PMUL2468,u-35,s-57
0-SNG02122,u-57,s-58
1-SNG02122,s-58,u-19
2-SNG02122,u-19,s-48
3-SNG02122,s-48,u-42
4-SNG02122,u-42,s-27
0-PMUL0288,u-70,s-66
1-PMUL0288,s-66,u-31
2-PMUL0288,u-31,s-23
3-PMUL0288,s-23,u-57
4-PMUL0288,u-57,s-61
5-PMUL0288,s-61,u-57
6-PMUL0288,u-57,s-18
7-PMUL0288,s-18,u-12
8-PMUL0288,u-12,s-1
9-PMUL0288,s-1,u-29
10-PMUL0288,u-29,s-66
11-PMUL0288,s-66,u-54
12-PMUL0288,u-54,s-26
13-PMUL0288,s-26,u-82
14-PMUL0288,u-82,s-1
15-PMUL0288,s-1,u-70
16-PMUL0288,u-70,s-54
0-MUL1016,u-15,s-59
1-MUL1016,s-59,u-8
2-MUL1016,u-8,s-19
3-MUL1016,s-19,u-4
4-MUL1016,u-4,s-1
5-MUL1016,s-1,u-4
6-MUL1016,u-4,s-1
7-MUL1016,s-1,u-35
8-MUL1016,u-35,s-61
9-MUL1016,s-61,u-44
10-MUL1016,u-44,s-57
11-MUL1016,s-57,u-70
12-MUL1016,u-70,s-27
13-MUL1016,s-27,u-40
14-MUL1016,u-40,s-67
0-WOZ20472,u-53,s-54
1-WOZ20472,s-54,u-23
2-WOZ20472,u-23,s-1
3-WOZ20472,s-1,u-38
4-WOZ20472,u-38,s-58
0-PMUL3150,u-20,s-58
1-PMUL3150,s-58,u-14
2-PMUL3150,u-14,s-18
3-PMUL3150,s-18,u-74
4-PMUL3150,u-74,s-1
5-PMUL3150,s-1,u-55
6-PMUL3150,u-55,s-1
7-PMUL3150,s-1,u-30
8-PMUL3150,u-30,s-58
9-PMUL3150,s-58,u-20
10-PMUL3150,u-20,s-17
11-PMUL3150,s-17,u-27
12-PMUL3150,u-27,s-1
13-PMUL3150,s-1,u-14
14-PMUL3150,u-14,s-51
15-PMUL3150,s-51,u-17
16-PMUL3150,u-17,s-1
17-PMUL3150,s-1,u-63
18-PMUL3150,u-63,s-53
19-PMUL3150,s-53,u-64
20-PMUL3150,u-64,s-35
21-PMUL3150,s-35,u-0
22-PMUL3150,u-0,s-39
23-PMUL3150,s-39,u-57
24-PMUL3150,u-57,s-45
0-MUL2538,u-54,s-62
1-MUL2538,s-62,u-47
2-MUL2538,u-47,s-66
3-MUL2538,s-66,u-72
4-MUL2538,u-72,s-25
5-MUL2538,s-25,u-9
6-MUL2538,u-9,s-1
7-MUL2538,s-1,u-17
8-MUL2538,u-17,s-57
9-MUL2538,s-57,u-70
10-MUL2538,u-70,s-57
11-MUL2538,s-57,u-11
12-MUL2538,u-11,s-57
13-MUL2538,s-57,u-53
14-MUL2538,u-53,s-28
15-MUL2538,s-28,u-57
16-MUL2538,u-57,s-66
0-SNG0881,u-18,s-13
1-SNG0881,s-13,u-2
2-SNG0881,u-2,s-31
3-SNG0881,s-31,u-57
4-SNG0881,u-57,s-54
5-SNG0881,s-54,u-70
6-SNG0881,u-70,s-47
7-SNG0881,s-47,u-13
8-SNG0881,u-13,s-29
0-PMUL1687,u-12,s-1
1-PMUL1687,s-1,u-53
2-PMUL1687,u-53,s-1
3-PMUL1687,s-1,u-57
4-PMUL1687,u-57,s-1
5-PMUL1687,s-1,u-37
6-PMUL1687,u-37,s-66
7-PMUL1687,s-66,u-57
8-PMUL1687,u-57,s-7
9-PMUL1687,s-7,u-33
10-PMUL1687,u-33,s-39
11-PMUL1687,s-39,u-31
12-PMUL1687,u-31,s-62
0-PMUL0368,u-35,s-45
1-PMUL0368,s-45,u-57
2-PMUL0368,u-57,s-1
3-PMUL0368,s-1,u-72
4-PMUL0368,u-72,s-3
5-PMUL0368,s-3,u-72
6-PMUL0368,u-72,s-30
7-PMUL0368,s-30,u-4
8-PMUL0368,u-4,s-66
9-PMUL0368,s-66,u-2
10-PMUL0368,u-2,s-26
11-PMUL0368,s-26,u-80
12-PMUL0368,u-80,s-1
13-PMUL0368,s-1,u-57
14-PMUL0368,u-57,s-46
0-PMUL2208,u-1,s-61
1-PMUL2208,s-61,u-38
2-PMUL2208,u-38,s-1
3-PMUL2208,s-1,u-57
4-PMUL2208,u-57,s-1
5-PMUL2208,s-1,u-20
6-PMUL2208,u-20,s-61
7-PMUL2208,s-61,u-67
8-PMUL2208,u-67,s-61
9-PMUL2208,s-61,u-18
10-PMUL2208,u-18,s-32
11-PMUL2208,s-32,u-15
12-PMUL2208,u-15,s-12
13-PMUL2208,s-12,u-57
14-PMUL2208,u-57,s-7
15-PMUL2208,s-7,u-79
16-PMUL2208,u-79,s-61
0-MUL2645,u-75,s-0
1-MUL2645,s-0,u-57
2-MUL2645,u-57,s-33
3-MUL2645,s-33,u-4
4-MUL2645,u-4,s-34
5-MUL2645,s-34,u-57
6-MUL2645,u-57,s-53
7-MUL2645,s-53,u-56
8-MUL2645,u-56,s-1
0-PMUL3046,u-82,s-1
1-PMUL3046,s-1,u-1
2-PMUL3046,u-1,s-38
3-PMUL3046,s-38,u-15
4-PMUL3046,u-15,s-12
5-PMUL3046,s-12,u-17
6-PMUL3046,u-17,s-68
7-PMUL3046,s-68,u-67
8-PMUL3046,u-67,s-1
9-PMUL3046,s-1,u-31
10-PMUL3046,u-31,s-1
11-PMUL3046,s-1,u-59
12-PMUL3046,u-59,s-3
0-PMUL3839,u-30,s-58
1-PMUL3839,s-58,u-67
2-PMUL3839,u-67,s-39
3-PMUL3839,s-39,u-35
4-PMUL3839,u-35,s-46
5-PMUL3839,s-46,u-28
6-PMUL3839,u-28,s-45
7-PMUL3839,s-45,u-28
8-PMUL3839,u-28,s-34
9-PMUL3839,s-34,u-15
10-PMUL3839,u-15,s-11
11-PMUL3839,s-11,u-23
12-PMUL3839,u-23,s-1
13-PMUL3839,s-1,u-14
14-PMUL3839,u-14,s-1
15-PMUL3839,s-1,u-57
16-PMUL3839,u-57,s-61
0-PMUL2638,u-58,s-57
1-PMUL2638,s-57,u-78
2-PMUL2638,u-78,s-27
3-PMUL2638,s-27,u-65
4-PMUL2638,u-65,s-12
5-PMUL2638,s-12,u-9
6-PMUL2638,u-9,s-24
7-PMUL2638,s-24,u-22
8-PMUL2638,u-22,s-1
9-PMUL2638,s-1,u-28
10-PMUL2638,u-28,s-4
11-PMUL2638,s-4,u-57
12-PMUL2638,u-57,s-47
13-PMUL2638,s-47,u-14
14-PMUL2638,u-14,s-54
15-PMUL2638,s-54,u-2
16-PMUL2638,u-2,s-57
17-PMUL2638,s-57,u-80
18-PMUL2638,u-80,s-42
0-SNG01276,u-53,s-42
1-SNG01276,s-42,u-46
2-SNG01276,u-46,s-63
3-SNG01276,s-63,u-17
4-SNG01276,u-17,s-67
5-SNG01276,s-67,u-15
6-SNG01276,u-15,s-26
0-SNG1231,u-13,s-1
1-SNG1231,s-1,u-57
2-SNG1231,u-57,s-61
3-SNG1231,s-61,u-65
4-SNG1231,u-65,s-34
5-SNG1231,s-34,u-29
6-SNG1231,u-29,s-31
7-SNG1231,s-31,u-79
8-SNG1231,u-79,s-55
9-SNG1231,s-55,u-69
10-SNG1231,u-69,s-66
11-SNG1231,s-66,u-35
12-SNG1231,u-35,s-12
13-SNG1231,s-12,u-20
14-SNG1231,u-20,s-7
15-SNG1231,s-7,u-28
16-SNG1231,u-28,s-68
0-WOZ20217,u-33,s-8
1-WOZ20217,s-8,u-77
2-WOZ20217,u-77,s-9
3-WOZ20217,s-9,u-53
4-WOZ20217,u-53,s-57
0-SNG01988,u-35,s-52
1-SNG01988,s-52,u-59
2-SNG01988,u-59,s-42
3-SNG01988,s-42,u-43
4-SNG01988,u-43,s-47
5-SNG01988,s-47,u-65
6-SNG01988,u-65,s-45
7-SNG01988,s-45,u-20
8-SNG01988,u-20,s-66
9-SNG01988,s-66,u-34
10-SNG01988,u-34,s-57
11-SNG01988,s-57,u-53
12-SNG01988,u-53,s-69
0-PMUL2349,u-46,s-47
1-PMUL2349,s-47,u-28
2-PMUL2349,u-28,s-52
3-PMUL2349,s-52,u-29
4-PMUL2349,u-29,s-54
5-PMUL2349,s-54,u-57
6-PMUL2349,u-57,s-57
7-PMUL2349,s-57,u-29
8-PMUL2349,u-29,s-61
9-PMUL2349,s-61,u-18
10-PMUL2349,u-18,s-1
11-PMUL2349,s-1,u-14
12-PMUL2349,u-14,s-1
13-PMUL2349,s-1,u-6
14-PMUL2349,u-6,s-47
0-PMUL2132,u-13,s-47
1-PMUL2132,s-47,u-79
2-PMUL2132,u-79,s-13
3-PMUL2132,s-13,u-70
4-PMUL2132,u-70,s-37
5-PMUL2132,s-37,u-67
6-PMUL2132,u-67,s-1
7-PMUL2132,s-1,u-16
8-PMUL2132,u-16,s-57
9-PMUL2132,s-57,u-18
10-PMUL2132,u-18,s-43
11-PMUL2132,s-43,u-2
12-PMUL2132,u-2,s-66
0-PMUL2895,u-18,s-44
1-PMUL2895,s-44,u-58
2-PMUL2895,u-58,s-66
3-PMUL2895,s-66,u-26
4-PMUL2895,u-26,s-37
5-PMUL2895,s-37,u-53
6-PMUL2895,u-53,s-12
7-PMUL2895,s-12,u-57
8-PMUL2895,u-57,s-51
9-PMUL2895,s-51,u-0
10-PMUL2895,u-0,s-13
0-SNG01874,u-51,s-57
1-SNG01874,s-57,u-2
2-SNG01874,u-2,s-31
3-SNG01874,s-31,u-27
4-SNG01874,u-27,s-57
5-SNG01874,s-57,u-14
6-SNG01874,u-14,s-66
0-SNG1058,u-30,s-38
1-SNG1058,s-38,u-18
2-SNG1058,u-18,s-10
3-SNG1058,s-10,u-57
4-SNG1058,u-57,s-1
5-SNG1058,s-1,u-63
6-SNG1058,u-63,s-30
0-MUL2559,u-33,s-31
1-MUL2559,s-31,u-53
2-MUL2559,u-53,s-1
3-MUL2559,s-1,u-59
4-MUL2559,u-59,s-30
5-MUL2559,s-30,u-0
6-MUL2559,u-0,s-35
7-MUL2559,s-35,u-77
8-MUL2559,u-77,s-54
9-MUL2559,s-54,u-54
10-MUL2559,u-54,s-40
11-MUL2559,s-40,u-74
12-MUL2559,u-74,s-0
13-MUL2559,s-0,u-67
14-MUL2559,u-67,s-46
0-PMUL3026,u-13,s-66
1-PMUL3026,s-66,u-57
2-PMUL3026,u-57,s-50
3-PMUL3026,s-50,u-15
4-PMUL3026,u-15,s-61
5-PMUL3026,s-61,u-4
6-PMUL3026,u-4,s-57
7-PMUL3026,s-57,u-36
8-PMUL3026,u-36,s-58
9-PMUL3026,s-58,u-59
10-PMUL3026,u-59,s-4
11-PMUL3026,s-4,u-36
12-PMUL3026,u-36,s-34
13-PMUL3026,s-34,u-75
14-PMUL3026,u-75,s-10
15-PMUL3026,s-10,u-21
16-PMUL3026,u-21,s-18
0-MUL1279,u-31,s-1
1-MUL1279,s-1,u-44
2-MUL1279,u-44,s-57
3-MUL1279,s-57,u-6
4-MUL1279,u-6,s-66
5-MUL1279,s-66,u-10
6-MUL1279,u-10,s-61
7-MUL1279,s-61,u-84
8-MUL1279,u-84,s-1
9-MUL1279,s-1,u-62
10-MUL1279,u-62,s-1
11-MUL1279,s-1,u-63
12-MUL1279,u-63,s-0
13-MUL1279,s-0,u-18
14-MUL1279,u-18,s-66
15-MUL1279,s-66,u-67
16-MUL1279,u-67,s-66
17-MUL1279,s-66,u-48
18-MUL1279,u-48,s-13
19-MUL1279,s-13,u-33
20-MUL1279,u-33,s-61
0-PMUL1206,u-74,s-57
1-PMUL1206,s-57,u-60
2-PMUL1206,u-60,s-33
3-PMUL1206,s-33,u-30
4-PMUL1206,u-30,s-1
5-PMUL1206,s-1,u-48
6-PMUL1206,u-48,s-69
0-MUL2428,u-53,s-39
1-MUL2428,s-39,u-63
2-MUL2428,u-63,s-53
3-MUL2428,s-53,u-1
4-MUL2428,u-1,s-12
5-MUL2428,s-12,u-20
6-MUL2428,u-20,s-50
7-MUL2428,s-50,u-18
8-MUL2428,u-18,s-57
9-MUL2428,s-57,u-70
10-MUL2428,u-70,s-54
11-MUL2428,s-54,u-4
12-MUL2428,u-4,s-34
13-MUL2428,s-34,u-31
14-MUL2428,u-31,s-31
15-MUL2428,s-31,u-56
16-MUL2428,u-56,s-1
17-MUL2428,s-1,u-80
18-MUL2428,u-80,s-54
19-MUL2428,s-54,u-20
20-MUL2428,u-20,s-35
0-MUL2349,u-57,s-26
1-MUL2349,s-26,u-53
2-MUL2349,u-53,s-1
3-MUL2349,s-1,u-1
4-MUL2349,u-1,s-57
5-MUL2349,s-57,u-9
6-MUL2349,u-9,s-71
7-MUL2349,s-71,u-18
8-MUL2349,u-18,s-26
0-PMUL2161,u-21,s-42
1-PMUL2161,s-42,u-21
2-PMUL2161,u-21,s-1
3-PMUL2161,s-1,u-77
4-PMUL2161,u-77,s-54
5-PMUL2161,s-54,u-61
6-PMUL2161,u-61,s-0
0-WOZ20474,u-78,s-43
1-WOZ20474,s-43,u-0
2-WOZ20474,u-0,s-52
3-WOZ20474,s-52,u-64
4-WOZ20474,u-64,s-30
5-WOZ20474,s-30,u-22
6-WOZ20474,u-22,s-3
7-WOZ20474,s-3,u-70
8-WOZ20474,u-70,s-32
9-WOZ20474,s-32,u-59
10-WOZ20474,u-59,s-68
11-WOZ20474,s-68,u-71
12-WOZ20474,u-71,s-1
0-SNG0593,u-28,s-55
1-SNG0593,s-55,u-38
2-SNG0593,u-38,s-66
3-SNG0593,s-66,u-74
4-SNG0593,u-74,s-52
5-SNG0593,s-52,u-69
6-SNG0593,u-69,s-54
0-PMUL3616,u-79,s-54
1-PMUL3616,s-54,u-20
2-PMUL3616,u-20,s-35
3-PMUL3616,s-35,u-66
4-PMUL3616,u-66,s-57
5-PMUL3616,s-57,u-30
6-PMUL3616,u-30,s-46
7-PMUL3616,s-46,u-63
8-PMUL3616,u-63,s-70
9-PMUL3616,s-70,u-64
10-PMUL3616,u-64,s-13
