,Source,Target,Weight
191,s-1,u-48,21
192,s-1,u-49,2
193,s-1,u-5,9
194,s-1,u-51,5
195,s-1,u-52,7
196,s-1,u-53,43
197,s-1,u-54,9
198,s-1,u-55,12
199,s-1,u-56,13
200,s-1,u-57,167
201,s-1,u-58,23
202,s-1,u-59,33
203,s-1,u-6,14
204,s-1,u-60,6
205,s-1,u-61,7
206,s-1,u-62,13
207,s-1,u-63,40
208,s-1,u-64,16
209,s-1,u-65,15
210,s-1,u-66,27
211,s-1,u-67,28
212,s-1,u-68,28
213,s-1,u-69,6
214,s-1,u-7,17
215,s-1,u-70,64
216,s-1,u-71,17
217,s-1,u-72,17
218,s-1,u-73,4
219,s-1,u-74,15
220,s-1,u-75,19
221,s-1,u-76,1
222,s-1,u-77,33
223,s-1,u-78,35
224,s-1,u-79,16
225,s-1,u-8,5
226,s-1,u-80,13
227,s-1,u-81,10
228,s-1,u-82,14
229,s-1,u-83,12
230,s-1,u-84,3
231,s-1,u-9,13
232,s-10,User No Cluster,1
233,s-10,u-0,3
234,s-10,u-1,2
235,s-10,u-10,2
236,s-10,u-13,1
237,s-10,u-14,1
238,s-10,u-18,4
239,s-10,u-2,4
240,s-10,u-20,2
241,s-10,u-21,1
242,s-10,u-22,1
243,s-10,u-24,1
244,s-10,u-26,2
245,s-10,u-28,1
246,s-10,u-29,1
247,s-10,u-35,1
248,s-10,u-36,2
249,s-10,u-38,3
250,s-10,u-40,2
251,s-10,u-44,1
252,s-10,u-48,1
253,s-10,u-5,1
254,s-10,u-51,1
255,s-10,u-55,2
256,s-10,u-56,2
257,s-10,u-57,9
258,s-10,u-59,4
259,s-10,u-65,1
260,s-10,u-68,1
261,s-10,u-70,6
262,s-10,u-71,1
263,s-10,u-72,1
264,s-10,u-78,3
265,s-10,u-79,1
266,s-11,u-0,1
267,s-11,u-1,1
268,s-11,u-10,1
269,s-11,u-12,1
270,s-11,u-14,1
271,s-11,u-18,3
272,s-11,u-23,2
273,s-11,u-25,2
274,s-11,u-26,1
275,s-11,u-28,2
276,s-11,u-29,1
277,s-11,u-30,1
278,s-11,u-31,2
279,s-11,u-32,1
280,s-11,u-35,1
281,s-11,u-37,1
282,s-11,u-41,1
283,s-11,u-45,1
284,s-11,u-46,1
285,s-11,u-5,1
286,s-11,u-53,1
287,s-11,u-54,1
288,s-11,u-55,1
289,s-11,u-56,2
290,s-11,u-57,2
291,s-11,u-58,1
292,s-11,u-59,3
293,s-11,u-61,1
294,s-11,u-63,4
295,s-11,u-64,1
296,s-11,u-70,1
297,s-11,u-71,1
298,s-11,u-72,2
299,s-11,u-74,1
300,s-11,u-80,1
301,s-11,u-83,1
302,s-11,u-9,1
303,s-12,u-0,6
304,s-12,u-1,4
305,s-12,u-10,7
306,s-12,u-11,2
307,s-12,u-13,7
308,s-12,u-14,7
309,s-12,u-15,3
310,s-12,u-17,3
311,s-12,u-18,8
312,s-12,u-2,6
313,s-12,u-20,7
314,s-12,u-21,1
315,s-12,u-22,4
316,s-12,u-23,6
317,s-12,u-24,1
318,s-12,u-25,2
319,s-12,u-26,4
320,s-12,u-28,8
321,s-12,u-29,5
322,s-12,u-3,2
323,s-12,u-30,7
324,s-12,u-31,7
325,s-12,u-32,2
326,s-12,u-35,6
327,s-12,u-36,1
328,s-12,u-38,4
329,s-12,u-4,3
330,s-12,u-40,2
331,s-12,u-42,2
332,s-12,u-43,2
333,s-12,u-44,5
334,s-12,u-46,3
335,s-12,u-47,2
336,s-12,u-48,8
337,s-12,u-49,1
338,s-12,u-5,2
339,s-12,u-51,2
340,s-12,u-52,2
341,s-12,u-53,9
342,s-12,u-54,1
343,s-12,u-55,3
344,s-12,u-56,1
345,s-12,u-57,32
346,s-12,u-58,2
347,s-12,u-59,9
348,s-12,u-6,3
349,s-12,u-61,1
350,s-12,u-62,2
351,s-12,u-63,12
352,s-12,u-64,1
353,s-12,u-65,4
354,s-12,u-66,6
355,s-12,u-67,7
356,s-12,u-68,5
357,s-12,u-69,1
358,s-12,u-7,1
359,s-12,u-70,22
360,s-12,u-71,1
361,s-12,u-72,6
362,s-12,u-73,1
363,s-12,u-74,5
364,s-12,u-75,6
365,s-12,u-77,5
366,s-12,u-78,10
367,s-12,u-79,8
368,s-12,u-8,1
369,s-12,u-80,7
370,s-12,u-81,1
371,s-12,u-82,6
372,s-12,u-83,2
373,s-12,u-84,1
374,s-12,u-9,7
375,s-13,User No Cluster,1
376,s-13,u-0,3
377,s-13,u-1,1
378,s-13,u-10,1
379,s-13,u-11,1
380,s-13,u-12,3
381,s-13,u-13,3
382,s-13,u-14,3
383,s-13,u-15,1
384,s-13,u-16,1
385,s-13,u-17,1
386,s-13,u-18,1
387,s-13,u-19,1
388,s-13,u-2,9
389,s-13,u-20,6
390,s-13,u-21,1
391,s-13,u-22,2
392,s-13,u-23,2
393,s-13,u-25,1
394,s-13,u-26,7
395,s-13,u-28,2
396,s-13,u-29,4
397,s-13,u-3,1
398,s-13,u-30,6
399,s-13,u-31,4
400,s-13,u-32,3
401,s-13,u-33,1
402,s-13,u-34,2
403,s-13,u-35,7
404,s-13,u-4,1
405,s-13,u-40,1
406,s-13,u-42,1
407,s-13,u-44,1
408,s-13,u-45,1
409,s-13,u-46,3
410,s-13,u-47,2
411,s-13,u-48,1
412,s-13,u-5,1
413,s-13,u-52,1
414,s-13,u-53,3
415,s-13,u-54,1
416,s-13,u-55,1
417,s-13,u-56,2
418,s-13,u-57,17
419,s-13,u-58,1
420,s-13,u-59,3
421,s-13,u-6,2
422,s-13,u-60,1
423,s-13,u-61,1
424,s-13,u-62,3
425,s-13,u-63,7
426,s-13,u-64,2
427,s-13,u-66,2
428,s-13,u-67,9
429,s-13,u-68,2
430,s-13,u-7,1
431,s-13,u-70,11
432,s-13,u-71,1
433,s-13,u-72,2
434,s-13,u-74,3
435,s-13,u-75,1
436,s-13,u-78,6
437,s-13,u-79,3
438,s-13,u-8,1
439,s-13,u-80,3
440,s-13,u-81,3
441,s-13,u-83,1
442,s-13,u-9,2
443,s-14,u-10,1
444,s-14,u-13,1
445,s-14,u-14,2
446,s-14,u-22,1
447,s-14,u-26,1
448,s-14,u-30,1
449,s-14,u-33,2
450,s-14,u-35,1
451,s-14,u-43,1
452,s-14,u-44,1
453,s-14,u-48,1
454,s-14,u-57,5
455,s-14,u-58,1
456,s-14,u-60,1
457,s-14,u-63,1
458,s-14,u-65,2
459,s-14,u-66,1
460,s-14,u-70,2
461,s-14,u-72,1
462,s-14,u-78,1
463,s-14,u-79,2
464,s-15,u-0,2
465,s-15,u-1,1
466,s-15,u-12,2
467,s-15,u-13,1
468,s-15,u-14,1
469,s-15,u-2,1
470,s-15,u-20,4
471,s-15,u-21,1
472,s-15,u-22,1
473,s-15,u-23,3
474,s-15,u-26,2
475,s-15,u-30,2
476,s-15,u-31,3
477,s-15,u-35,1
478,s-15,u-40,1
479,s-15,u-46,1
480,s-15,u-47,1
481,s-15,u-49,2
482,s-15,u-5,1
483,s-15,u-53,2
484,s-15,u-54,1
485,s-15,u-55,1
486,s-15,u-56,1
487,s-15,u-57,5
488,s-15,u-59,3
489,s-15,u-6,1
490,s-15,u-63,2
491,s-15,u-66,5
492,s-15,u-67,2
493,s-15,u-68,2
494,s-15,u-7,1
495,s-15,u-70,4
496,s-15,u-77,3
497,s-15,u-78,2
498,s-15,u-79,1
499,s-15,u-80,2
500,s-15,u-9,1
501,s-16,u-10,1
502,s-16,u-28,1
503,s-16,u-29,1
504,s-16,u-4,1
505,s-16,u-40,1
506,s-16,u-63,1
507,s-16,u-9,1
508,s-17,User No Cluster,1
509,s-17,u-0,2
510,s-17,u-11,1
511,s-17,u-13,2
512,s-17,u-14,2
513,s-17,u-15,1
514,s-17,u-18,1
515,s-17,u-19,1
516,s-17,u-20,1
517,s-17,u-22,2
518,s-17,u-26,2
519,s-17,u-27,1
520,s-17,u-28,1
521,s-17,u-30,1
522,s-17,u-35,2
523,s-17,u-36,1
524,s-17,u-42,1
525,s-17,u-43,1
526,s-17,u-44,1
527,s-17,u-48,1
528,s-17,u-5,2
529,s-17,u-53,2
530,s-17,u-56,1
531,s-17,u-57,6
532,s-17,u-58,1
533,s-17,u-59,1
534,s-17,u-63,3
535,s-17,u-66,2
536,s-17,u-68,2
537,s-17,u-7,1
538,s-17,u-70,1
539,s-17,u-77,1
540,s-17,u-78,1
541,s-17,u-79,1
542,s-17,u-82,1
543,s-17,u-84,1
544,s-18,u-0,3
545,s-18,u-12,1
546,s-18,u-13,3
547,s-18,u-14,3
548,s-18,u-15,5
549,s-18,u-18,3
550,s-18,u-2,4
551,s-18,u-20,4
552,s-18,u-22,3
553,s-18,u-23,1
554,s-18,u-25,1
555,s-18,u-26,1
556,s-18,u-28,2
557,s-18,u-29,1
558,s-18,u-30,4
559,s-18,u-31,3
560,s-18,u-33,1
561,s-18,u-34,1
562,s-18,u-35,2
563,s-18,u-37,3
564,s-18,u-38,1
565,s-18,u-4,1
566,s-18,u-40,1
567,s-18,u-46,1
568,s-18,u-51,2
569,s-18,u-52,1
570,s-18,u-53,5
571,s-18,u-56,2
572,s-18,u-57,19
573,s-18,u-58,1
574,s-18,u-59,1
575,s-18,u-6,1
576,s-18,u-61,1
577,s-18,u-62,1
578,s-18,u-63,6
579,s-18,u-64,2
580,s-18,u-65,1
581,s-18,u-66,2
582,s-18,u-67,3
583,s-18,u-68,4
584,s-18,u-70,7
585,s-18,u-71,1
586,s-18,u-74,3
587,s-18,u-75,2
588,s-18,u-77,1
589,s-18,u-79,1
590,s-18,u-8,1
591,s-18,u-80,2
592,s-18,u-81,2
593,s-18,u-82,1
594,s-18,u-9,1
595,s-19,u-0,1
596,s-19,u-14,1
597,s-19,u-18,1
598,s-19,u-2,2
599,s-19,u-20,3
600,s-19,u-22,1
601,s-19,u-23,3
602,s-19,u-32,1
603,s-19,u-36,1
604,s-19,u-38,1
605,s-19,u-4,1
606,s-19,u-42,1
607,s-19,u-46,3
608,s-19,u-57,4
609,s-19,u-64,2
610,s-19,u-70,1
611,s-19,u-78,1
612,s-19,u-8,1
613,s-19,u-80,1
614,s-19,u-81,1
615,s-2,u-1,3
616,s-2,u-10,1
617,s-2,u-12,1
618,s-2,u-13,1
619,s-2,u-14,1
620,s-2,u-17,1
621,s-2,u-18,4
622,s-2,u-19,1
623,s-2,u-2,1
624,s-2,u-20,3
625,s-2,u-21,2
626,s-2,u-22,1
627,s-2,u-23,2
628,s-2,u-26,2
629,s-2,u-28,2
630,s-2,u-30,1
631,s-2,u-31,2
632,s-2,u-35,1
633,s-2,u-38,1
634,s-2,u-4,1
635,s-2,u-43,1
636,s-2,u-48,1
637,s-2,u-53,1
638,s-2,u-55,1
639,s-2,u-56,1
640,s-2,u-57,4
641,s-2,u-58,1
642,s-2,u-60,1
643,s-2,u-62,1
644,s-2,u-65,3
645,s-2,u-66,3
646,s-2,u-67,1
647,s-2,u-68,2
648,s-2,u-7,1
649,s-2,u-70,3
650,s-2,u-71,1
651,s-2,u-74,1
652,s-2,u-77,2
653,s-2,u-78,1
654,s-2,u-79,1
655,s-2,u-80,1
656,s-2,u-81,1
657,s-2,u-82,1
658,s-2,u-9,1
659,s-20,u-13,1
660,s-20,u-14,2
661,s-20,u-18,2
662,s-20,u-20,1
663,s-20,u-26,1
664,s-20,u-29,1
665,s-20,u-30,2
666,s-20,u-35,1
667,s-20,u-39,1
668,s-20,u-44,1
669,s-20,u-46,1
670,s-20,u-5,1
671,s-20,u-53,1
672,s-20,u-56,1
673,s-20,u-57,6
674,s-20,u-61,1
675,s-20,u-63,1
676,s-20,u-65,1
677,s-20,u-66,2
678,s-20,u-67,2
679,s-20,u-69,1
680,s-20,u-7,1
681,s-20,u-70,3
682,s-20,u-77,1
683,s-20,u-79,1
684,s-21,u-0,1
685,s-21,u-15,1
686,s-21,u-16,1
687,s-21,u-18,1
688,s-21,u-2,1
689,s-21,u-23,1
690,s-21,u-29,1
691,s-21,u-32,2
692,s-21,u-36,1
693,s-21,u-39,1
694,s-21,u-42,1
695,s-21,u-48,1
696,s-21,u-57,4
697,s-21,u-58,1
698,s-21,u-59,1
699,s-21,u-60,1
700,s-21,u-63,1
701,s-21,u-68,1
702,s-21,u-7,1
703,s-21,u-70,1
704,s-21,u-77,2
705,s-22,User No Cluster,2
706,s-22,u-0,2
707,s-22,u-1,2
708,s-22,u-12,5
709,s-22,u-13,3
710,s-22,u-14,5
711,s-22,u-15,3
712,s-22,u-16,1
713,s-22,u-17,1
714,s-22,u-18,1
715,s-22,u-2,3
716,s-22,u-20,4
717,s-22,u-21,1
718,s-22,u-22,2
719,s-22,u-23,3
720,s-22,u-24,1
721,s-22,u-26,2
722,s-22,u-29,1
723,s-22,u-3,1
724,s-22,u-30,5
725,s-22,u-31,1
726,s-22,u-35,1
727,s-22,u-36,1
728,s-22,u-37,1
729,s-22,u-38,1
730,s-22,u-4,2
731,s-22,u-40,2
732,s-22,u-42,2
733,s-22,u-43,1
734,s-22,u-46,2
735,s-22,u-47,2
736,s-22,u-48,1
737,s-22,u-5,1
738,s-22,u-51,1
739,s-22,u-53,2
740,s-22,u-54,1
741,s-22,u-55,1
742,s-22,u-56,1
743,s-22,u-57,15
744,s-22,u-58,2
745,s-22,u-59,3
746,s-22,u-6,2
747,s-22,u-63,1
748,s-22,u-68,3
749,s-22,u-7,2
750,s-22,u-70,4
751,s-22,u-71,1
752,s-22,u-74,2
753,s-22,u-75,2
754,s-22,u-77,1
755,s-22,u-81,1
756,s-22,u-83,1
757,s-22,u-9,1
758,s-23,u-0,4
759,s-23,u-1,2
760,s-23,u-10,2
761,s-23,u-12,2
762,s-23,u-14,1
763,s-23,u-15,1
764,s-23,u-18,1
765,s-23,u-2,2
766,s-23,u-20,1
767,s-23,u-23,3
768,s-23,u-25,1
769,s-23,u-28,2
770,s-23,u-29,1
771,s-23,u-3,2
772,s-23,u-30,2
773,s-23,u-31,1
774,s-23,u-32,1
775,s-23,u-33,1
776,s-23,u-35,1
777,s-23,u-36,3
778,s-23,u-37,1
779,s-23,u-38,2
780,s-23,u-40,2
781,s-23,u-42,1
782,s-23,u-44,1
783,s-23,u-45,1
784,s-23,u-5,1
785,s-23,u-53,2
786,s-23,u-57,8
787,s-23,u-63,3
788,s-23,u-64,1
789,s-23,u-65,1
790,s-23,u-66,1
791,s-23,u-67,1
792,s-23,u-68,2
793,s-23,u-70,3
794,s-23,u-71,1
795,s-23,u-72,2
796,s-23,u-74,2
797,s-23,u-77,2
798,s-23,u-78,2
799,s-23,u-83,1
800,s-23,u-9,1
801,s-24,u-14,1
802,s-24,u-18,1
803,s-24,u-2,1
804,s-24,u-20,1
805,s-24,u-22,2
806,s-24,u-24,1
807,s-24,u-26,1
808,s-24,u-30,1
809,s-24,u-32,1
810,s-24,u-34,1
811,s-24,u-46,1
812,s-24,u-49,1
813,s-24,u-53,1
814,s-24,u-57,1
815,s-24,u-58,1
816,s-24,u-61,1
817,s-24,u-67,1
818,s-24,u-68,1
819,s-24,u-78,2
820,s-24,u-79,1
821,s-25,u-0,5
822,s-25,u-1,1
823,s-25,u-14,3
824,s-25,u-15,1
825,s-25,u-18,2
826,s-25,u-19,1
827,s-25,u-20,1
828,s-25,u-21,1
829,s-25,u-22,1
830,s-25,u-25,1
831,s-25,u-28,3
832,s-25,u-3,1
833,s-25,u-30,1
834,s-25,u-35,2
835,s-25,u-37,1
836,s-25,u-38,1
837,s-25,u-40,1
838,s-25,u-46,1
839,s-25,u-48,2
840,s-25,u-49,1
841,s-25,u-5,1
842,s-25,u-52,1
843,s-25,u-53,1
844,s-25,u-57,1
845,s-25,u-58,2
846,s-25,u-59,1
847,s-25,u-64,2
848,s-25,u-66,1
849,s-25,u-67,2
850,s-25,u-70,4
851,s-25,u-72,1
852,s-25,u-74,2
853,s-25,u-75,1
854,s-25,u-77,3
855,s-25,u-78,1
856,s-25,u-79,1
857,s-25,u-9,1
858,s-26,User No Cluster,2
859,s-26,u-0,6
860,s-26,u-1,2
861,s-26,u-10,1
862,s-26,u-13,4
863,s-26,u-14,8
864,s-26,u-18,6
865,s-26,u-2,6
866,s-26,u-20,9
867,s-26,u-21,1
868,s-26,u-22,2
869,s-26,u-23,3
870,s-26,u-25,2
871,s-26,u-26,8
872,s-26,u-28,4
873,s-26,u-29,3
874,s-26,u-3,3
875,s-26,u-30,4
876,s-26,u-31,2
877,s-26,u-32,1
878,s-26,u-33,1
879,s-26,u-35,4
880,s-26,u-36,3
881,s-26,u-4,1
882,s-26,u-40,3
883,s-26,u-42,1
884,s-26,u-45,2
885,s-26,u-46,3
886,s-26,u-47,2
887,s-26,u-48,2
888,s-26,u-49,2
889,s-26,u-5,1
890,s-26,u-51,1
891,s-26,u-53,6
892,s-26,u-56,2
893,s-26,u-57,17
894,s-26,u-58,2
895,s-26,u-59,6
896,s-26,u-61,1
897,s-26,u-62,2
898,s-26,u-63,5
899,s-26,u-64,3
900,s-26,u-65,1
901,s-26,u-66,6
902,s-26,u-67,3
903,s-26,u-68,6
904,s-26,u-69,1
905,s-26,u-7,1
906,s-26,u-70,12
907,s-26,u-71,1
908,s-26,u-72,2
909,s-26,u-74,2
910,s-26,u-75,4
911,s-26,u-78,3
912,s-26,u-79,2
913,s-26,u-8,1
914,s-26,u-80,2
915,s-26,u-81,1
916,s-26,u-82,2
917,s-26,u-84,1
918,s-26,u-9,1
919,s-27,u-0,4
920,s-27,u-11,1
921,s-27,u-12,2
922,s-27,u-13,1
923,s-27,u-14,8
924,s-27,u-15,5
925,s-27,u-18,3
926,s-27,u-19,1
927,s-27,u-2,4
928,s-27,u-20,8
929,s-27,u-21,1
930,s-27,u-22,4
931,s-27,u-23,4
932,s-27,u-24,3
933,s-27,u-25,1
934,s-27,u-26,2
935,s-27,u-28,1
936,s-27,u-29,3
937,s-27,u-3,1
938,s-27,u-30,3
939,s-27,u-31,2
940,s-27,u-32,1
941,s-27,u-33,3
942,s-27,u-34,2
943,s-27,u-35,6
944,s-27,u-36,4
945,s-27,u-37,1
946,s-27,u-38,3
947,s-27,u-4,1
948,s-27,u-40,2
949,s-27,u-42,2
950,s-27,u-46,3
951,s-27,u-47,1
952,s-27,u-48,1
953,s-27,u-51,1
954,s-27,u-52,1
955,s-27,u-53,7
956,s-27,u-54,1
957,s-27,u-55,1
958,s-27,u-56,1
959,s-27,u-57,21
960,s-27,u-58,6
961,s-27,u-59,6
962,s-27,u-6,2
963,s-27,u-60,2
964,s-27,u-61,1
965,s-27,u-62,2
966,s-27,u-63,5
967,s-27,u-64,1
968,s-27,u-65,1
969,s-27,u-66,2
970,s-27,u-67,2
971,s-27,u-68,3
972,s-27,u-69,2
973,s-27,u-7,3
974,s-27,u-70,9
975,s-27,u-71,1
976,s-27,u-72,3
977,s-27,u-75,2
978,s-27,u-77,6
979,s-27,u-78,4
980,s-27,u-79,2
981,s-27,u-8,1
982,s-27,u-80,1
983,s-27,u-82,1
984,s-27,u-83,1
985,s-27,u-84,1
986,s-27,u-9,4
987,s-28,u-2,1
988,s-28,u-23,1
989,s-28,u-28,2
990,s-28,u-35,1
991,s-28,u-38,1
992,s-28,u-44,1
993,s-28,u-53,1
994,s-28,u-57,5
995,s-28,u-58,1
996,s-28,u-61,1
997,s-28,u-63,1
998,s-28,u-67,3
999,s-28,u-68,1
1000,s-28,u-81,1
1001,s-29,u-13,1
1002,s-29,u-21,3
1003,s-29,u-22,2
1004,s-29,u-40,1
1005,s-29,u-5,1
1006,s-29,u-53,2
1007,s-29,u-57,2
1008,s-29,u-58,1
1009,s-29,u-69,1
1010,s-29,u-70,1
1011,s-3,u-0,5
1012,s-3,u-10,1
1013,s-3,u-11,1
1014,s-3,u-12,2
1015,s-3,u-13,3
1016,s-3,u-14,1
1017,s-3,u-15,4
1018,s-3,u-16,1
1019,s-3,u-18,2
1020,s-3,u-2,1
1021,s-3,u-20,2
1022,s-3,u-26,1
1023,s-3,u-29,2
1024,s-3,u-3,1
1025,s-3,u-30,3
1026,s-3,u-31,3
1027,s-3,u-35,3
1028,s-3,u-37,1
1029,s-3,u-38,2
1030,s-3,u-42,1
1031,s-3,u-48,1
1032,s-3,u-5,1
1033,s-3,u-53,2
1034,s-3,u-54,1
1035,s-3,u-55,2
1036,s-3,u-56,1
1037,s-3,u-57,6
1038,s-3,u-58,2
1039,s-3,u-59,3
1040,s-3,u-62,1
1041,s-3,u-64,1
1042,s-3,u-65,1
1043,s-3,u-67,1
1044,s-3,u-68,1
1045,s-3,u-7,1
1046,s-3,u-70,5
1047,s-3,u-72,1
1048,s-3,u-75,1
1049,s-3,u-77,3
1050,s-3,u-78,1
1051,s-3,u-79,2
1052,s-3,u-8,1
1053,s-3,u-81,1
1054,s-3,u-83,1
1055,s-3,u-84,1
1056,s-3,u-9,1
1057,s-30,u-0,9
1058,s-30,u-1,5
1059,s-30,u-10,2
1060,s-30,u-11,2
1061,s-30,u-12,2
1062,s-30,u-13,6
1063,s-30,u-14,5
1064,s-30,u-15,5
1065,s-30,u-16,1
1066,s-30,u-17,1
1067,s-30,u-18,8
1068,s-30,u-2,7
1069,s-30,u-20,16
1070,s-30,u-22,5
1071,s-30,u-23,7
1072,s-30,u-25,2
1073,s-30,u-26,1
1074,s-30,u-27,1
1075,s-30,u-28,8
1076,s-30,u-29,4
1077,s-30,u-3,1
1078,s-30,u-30,12
1079,s-30,u-31,5
1080,s-30,u-32,1
1081,s-30,u-33,1
1082,s-30,u-34,1
1083,s-30,u-35,7
1084,s-30,u-36,2
1085,s-30,u-37,1
1086,s-30,u-38,1
1087,s-30,u-39,2
1088,s-30,u-4,2
1089,s-30,u-40,5
1090,s-30,u-42,1
1091,s-30,u-43,1
1092,s-30,u-44,4
1093,s-30,u-45,1
1094,s-30,u-46,5
1095,s-30,u-47,5
1096,s-30,u-48,2
1097,s-30,u-49,2
1098,s-30,u-5,4
1099,s-30,u-50,1
1100,s-30,u-51,1
1101,s-30,u-53,8
1102,s-30,u-55,3
1103,s-30,u-56,4
1104,s-30,u-57,31
1105,s-30,u-58,3
1106,s-30,u-59,5
1107,s-30,u-6,1
1108,s-30,u-61,1
1109,s-30,u-62,4
1110,s-30,u-63,3
1111,s-30,u-64,5
1112,s-30,u-65,1
1113,s-30,u-66,5
1114,s-30,u-67,6
1115,s-30,u-68,7
1116,s-30,u-69,2
1117,s-30,u-7,4
1118,s-30,u-70,12
1119,s-30,u-72,2
1120,s-30,u-74,1
1121,s-30,u-75,3
1122,s-30,u-76,1
1123,s-30,u-77,6
1124,s-30,u-78,12
1125,s-30,u-79,6
1126,s-30,u-8,1
1127,s-30,u-80,4
1128,s-30,u-81,1
1129,s-30,u-82,1
1130,s-30,u-84,1
1131,s-30,u-9,3
1132,s-31,u-0,5
1133,s-31,u-10,2
