,utterenaces
u-10,"['can you give me the arrival time of the 1559', 'could you also provide me with a concerthall in the south', '4 nights 3 people please include reference number in your response', 'i would like to leave on wednesday', 'thats all i needed thanks', 'thank you that s all', 'i would prefer a guesthouse is there one close to the restaurant', 'hi i am looking for a restaurant called the hotspot', 'i m also looking for a guesthouse in the east with 4 stars and free parking is there a place like that available to stay at', 'thank you i also need a train going to stevenage and arrive by 1100']"
u-11,"['yeah i m also looking for a place to stay', 'could you give me the postcode phone number and star rating of the guesthouse', 'nope that s all i need thanks for your help', 'ok that sounds good could you tell me what the entrance fee is there', 'fantastic thank you that will be all', 'i d like a cheap one please', 'nope that s all i needed today i appreciate your help', 'i need a taxi to pick me up at curry prince at 0815', 'thank you for your help', 'i prefer something a little more south']"
u-12,"['yes i would like the taxi to arrive by 1930 in addition i would like the car type and its contact number', 'what about a nightclub', 'i need the post code actually', 'i need a train to cambridge', 'what is the price', 'is that in the centre', 'thanks i m also looking for a restaurant', 'i m looking for a particular hotel called the kirkwood house where is it and what other information do you have about it', 'can you please try to find me another hotel in the east with at least four stars', 'hi i am traveling to cambridge and am interested in local restaurants']"
u-13,"['i ll be requesting a taxi to golden house please', 'great i like free can you give me the postcode and phone number to all saints church please', 'ok thanks that s all i needed', 'yes please help me book a train on saturday', 'i d really like to check out some interesting architecture while i m in town can you recommend anything', 'what about the post code', 'can you help me find a moderately priced hotels that has wifi', 'i need to double check does it include wifi', 'no thanks you have been very helpful goodbye', 'i am looking for a train that leaves on tuesday at 0845']"
u-14,"['i need to find somewhere to stay in the south', 'i am also looking for a restaurant should be cheap and in the south near to my hotel do you have any options', 'thank you from the hotel to the restaurant please', 'can you help me out with finding a restaurant that serves british food in the east', 'that sounds great can i get the postcode entrance fee and phone number', 'i m also looking for places to go in the east', 'is that located in the north', 'i would like you to book please', 'yes thanks that sounds great i am just interested in the entrance fee', 'ca nt you suggest one and book a room for 2 for 5 nights starting tues please']"
u-15,"['could i please get the reference number after you book it', 'i am looking for places to go in town', 'hello i am going to nee a place to go in the centre of town multiple sports would be best', 'can you also book a cab to get me to the restaurant in time for my reservation', 'what is the travel time for tr5729', 'whatever you recommend i just need the name and entrance fee if you will', 'on the contrary thank you goodbye', 'that sounds great i need to make a booking for sunday for 4 nights', 'i m also looking for an expensive restaurant near the hotel can you help with that', 'i d like some places to go some sort of entertainment']"
u-16,"['yes can you make a reservation for 2 people for wednesday at 1200 please thanks', 'you too thanks', 'i am leaving from kohinoor', 'can you find a train departing from cambridge going to kings lynn thanks', 'i need a phone number postcode and address', 'that works can you please provide the address for me', 'for 5 people on wednesday please could you also provide the reference number', 'no i m not picky', 'okay can we try modern european food instead please', 'does that one have free internet as well if so it will work great for me']"
u-17,"['i also need it in the expensive price range', 'i also need a taxi to leave the hotel by 315 please provide the contact number and car type', 'i like a guesthouse in the moderate price range', 'that s great i also need a hotel with free wifi i would prefer a 3 star place please', 'no thanks maths is nt my biggest strength so please tell me what the total travel time is', 'ok lets go with that then can you book me a room for thursday for 3 people 2 nights please', 'any area of town is ok i just need a phone number please', 'are there any colleges in town i want to see some', 'that sounds good i need to book a 3 night reservation for four people to check in on friday', 'thank you i m also look for an expensive hotel not a guesthouse to stay in i d like it to have free wifi and it needs to have 2 stars']"
u-18,"['i still need to discuss restaurants details with a couple people first can i start by looking for a 4 star place to stay in the south with free parking please', 'i am looking for a train the train should depart from peterborough and should go to cambridge', 'i need a place in the north with free wifi', 'i m in the south part of town and it s getting late can you tell me what local hotels there might be for me to stay at', 'that sounds nice can i get their phone number please', 'thanks for the reservation i also need a taxi from the passenger cruisers to arrive at the indian restaurant by the booked 1245 time please', 'i need help getting some info on the lynne strover gallery', 'how about a college in the west', 'just two nights please', 'how about an attraction that has to do with boats']"
u-19,"['i need to arrive by 1715', 'i would prefer to leave after 1345 please', 'no that s all i need thanks', 'wonderful thank you very much', 'location is not a problem please book me a table for 2 at 1645 wednesday i ll probably need the reference number too', 'that does nt really matter what s the entrance fee and area for your favorite entertainment place', 'that sounds good can you book it for 3 nights for thursday for 8 people', 'yes please for 6 people at 1715 on tuesday', 'thank you i think that is all i need today', 'that sounds great thanks that s all i need today']"
u-20,"['what about 3 nights', 'i do nt have one but i d like one of 3 stars', '5 nights starting from thursday for 3 people reference number please', 'i just need one ticket please', 'what is the address and phone number', 'goodbye', 'could you redo booking for 3 people please', 'i am also interested in attractions in the centre specifically i am interested in multiple sports facilities', 'it does nt matter i like 4 star guesthouses though', 'i d prefer something in the moderate price range']"
u-21,"['yes i need to know if there is an entrance fee or not and the postcode for the area', 'thanks so much for all of your help today that is all i needed bye', 'i m looking for a place to dine in cambridge if you could help me with some options', 'i would love some afghan food in the centre of town', 'yes i am looking for information on the sesame restaurant and bar', 'can i get the departure and travel time of the train arriving closest to 1530', 'yes the boat attraction can i get the address and do the charge a fee what is it', 'no i would prefer a museum', 'maybe i could stay in the north can you please look there for a 2 star hotel that includes free wifi', 'i am looking for some type of entertainment']"
u-22,"['i also need a guesthouse with free wifi', 'yes i would like the number for saigon city', 'i prefer the centre area what do you have for places to go type of college maybe', 'i d like to find a attraction in the same area of town as the restaurant can i get the attraction type and entrance fee', 'yes please i ll be arriving on saturday with my lady friend and staying 2 nights', 'i am looking for information on the leverton house hotel', 'i need a cheap four star room', 'i need your help in finding a particular restaurant i do nt know much about the restaurant unfortunately i do nt even know the food served i do know the name cafe uno', 'yes 3 people at 1345 on sunday', 'no that s all i need today i appreciate your help']"
u-23,"['okay which place do you recommend', '6 people 4 nights starting on friday', 'i am looking for a place to go in the centre an attraction please tell me about some places', 'yes that would be great if you could book train tr6034 for me thank you', 'how about a restaurant that services chinese food', 'i would like to book it for 4 people', 'please find me a train from cambridge to leicester', 'no can you recommend your favorite one', 'british cuisine would be great', 'what is the post code address and entree fee']"
u-24,"['thank you i m also interested in finding a hotel i prefer one that includes free parking', 'no that is all thank you', 'thanks i also need a guesthouse to stay in in the north', 'where is the addenbrookes hospital located', 'east part and where there is entertainment i also need address and phone number', 'yes that would be great thank you', 'thanks for that i am also looking for a train that should arrive by 1415 and should leave on thursday', 'i do not have a price preference', 'is that on tuesday if so that would work i ll need the train id and price', 'i d like a taxi to take me to the missing sock and need to be there by 1415']"
u-25,"['could we try for 1400 instead', 'yes for one guest for nights starting with tuesday', 'thank you so much for all of your help have a great day', 'can i please have the phone number and area for pizza hut fen ditton also the guesthouse we booked is 4 stars correct', 'does that hotel have a 3 star rating and free wifi', 'just choose one that is your favorite and tell me its type and phone number', 'yes i m looking for a guesthouse with free parking please', 'i also need a taxi between whale of a time and lan hong house that arrives by are reservation time at the restaurant', 'i want to leave some time after 1530', 'do they have internet']"
u-26,"['do they have wifi', 'thanks can you also tell me about j restaurant', 'i m looking for lodgings offering free wifi and free parking', 'i want some advice on places to go', 'thank you that was all i needed goodbye', 'no that will be all thank you', 'yes i m headed to cambridge on wednesday', 'no sorry i meant 2 nights', 'the location and price range do nt matter to me i want a guesthouse with 4 stars', 'yes i will need a taxi to go between the two places']"
u-27,"['yes please pick one for me', 'can i also get the postcode and address please', 'that sounds good can i get that for 8 people for 4 nights starting thursday', 'i also need a taxi to get to the restaurant from the hotel', 'okay what about 1 night', 'i would like reservations at 1315', 'i need to find a train from ely to cambridge', 'hello i am looking for an expensive restaurant that serves fusion food', 'what british restaurants are available in the centre to choose from i d like to book a table at 1715 for one on saturday', 'great what s the address for pembroke']"
u-28,"['i just need the name address and phone number of a hosptital', 'thank you also what is the entrance fee if any', 'i want the boating one what is the entrance fee for that', 'no can you recommend something in the centre', 'no we are going to norwich and need to leave after 1415', 'i need a train from kings lynn to go to cambridge', 'sure as long as it is in the same price range and can i get the reference number once you book it please', 'no that is exactly what i needed thank you for your help', 'i m looking for an expensive restaurant in the centre of town', 'what is the star rating i m actually looking for 4 star rating in the east part of town']"
u-29,"['i would also like to find a place to stay near the town centre that has a star rate of 0 that has free wifi in the moderate price range', 'hello i m looking for a restaurant that serves north american food', 'can you just verify is there an international restaurant in the south or no', 'yes please for 4 people for 3 nights starting saturday', 'i am actually looking to book a restaurant called riverside brasserie', 'oh sorry i wanted a train on friday not saturday anything after 0845 from london liverpool street to cambridge', 'i need them for 2 people at 1245 on thursday', 'what is the full address and zipcode of cafe jello gallery', 'hi i m looking a 4 star place to stay on the northside', 'what is their address and phone number']"
u-30,"['i am going to london liverpool street and need to leave cambridge after 1445', 'give me the address and postcode', 'ok thank you that s all the information i need right now', 'i m open to anything how about the boating', 'can i have the postcode please', 'i need to take a train going to cambridge on thursday', 'i m looking for a place to go in town to have fun are there any nightclubs in the west', 'yes book it for seven people i ll need a reference number', 'i am looking for the addenbrookes hospital can you please give me their phone number', 'yes thank you']"
u-31,"['thank you what is the contact number', 'i really wanted a hotel in the moderate price range can you look in the east please', 'yes i would could you book that for 6 people please', 'no it should be in the moderate price range and include free wiki though', 'thanks for your help you have been great', 'hello i m looking for some information about a particular restaurant the name of it is dojo noodle bar', 'i m looking for an attraction called riverboat georgina', 'that would be fine but please stay in the same price range', 'yes i m also looking for entertainment places to go in town in the south area can you help me with that', 'could you look for something in the west']"
u-32,"['i also need a taxi to take me between the two places please', 'thank you very much i think that is all i need', 'two for the same day i need a taxi to commute between the two places to be sure it arrives by the booked time the contact number and car type', 'nope i ll take anything on the eastside that s 4 stars and offers either free parking or wifi booked for 3 people and 2 nights starting from thursday', 'i think i d like to visit a museum perhaps can you suggest one', 'great thanks for your help', 'could you help me find the cambridge belfry', 'no that is all thank you', 'no that ll be it for me bye', 'no i would just like the earliest train that leaves after 1245']"
u-33,"['yes i d like to know what there is to see in the center of town', 'to bishops stortford i need to arrive by 1245 on tuesday', 'not right now what s the travel time on that ride', 'i am looking for a japanese restaurant in the centre of town', 'i m looking for any type of attraction in the centre', 'that is actually fine i wo nt be able to stay there after all you have been a great help have a nice day bye', 'thank you i will buy a ticket for 1432 pounds for train tr4813 leaving sunday at 1432', 'no that ll be all thanks so much', 'ok great thank you very much for your help', 'and the departure time please for the train that arrives closest to 1530']"
u-34,"['where can i find the express by holiday inn in cambridge', 'no that s all thank you very much for your help', 'that is all thank you', 'can i get the new reference number', 'i will also need to book a taxi', 'help i am hungry and need a cheap restaurant in the centre', 'yes for 6 on tuesday at 1645', 'i will be departing from broxbourne', 'nope i think that will do it thank you so much', 'great thanks very much']"
u-35,"['thank you for your help', 'i d like a moderately priced european restaurant in the centre please', 'thank you that was all i needed', 'i would want something expensive that has free parking do either have those', 'i am also looking for a place to go in town college maybe', 'no thanks you were tremendously helpful have a great day', 'i need to arrive by 1215', 'yes i will book that', 'i am looking for a train the train should go to cambridge and should arrive by 1145', 'are there any rooms available in hotels with free parking']"
u-36,"['yes please i would also like to book a restaurant', 'thanks i d also like to make a reservation at j restaurant', 'yes please can i get a taxi between those 2 locations', 'that was all thanks', 'that is all i need thank you good bye', 'what is the address and phone number', 'how many stars is it and can you give me the phone number', 'the holy trinity church from the hotel please', 'i need a reservation fo 3 at 1630', 'i will be traveling on thursday and i need to leave sometime after 1500']"
u-37,"['yes i will need a train to cambridge on thursday', 'hi i am looking forward to trying some local restaurants when i visit cambridge next month are there any good ones', 'north part of town please', 'i will be staying in the south can you book me a room and send me the reference number', 'i need a taxi from the cinema to the hotel i want to leave the cinema by 0815', 'that is everything that i need', 'oh i like that one thank you okay i also need information about a hotel called kirkwood house', 'i would like to leave the restaurant by 1115', 'yeah this seems fine go ahead and book it for me', 'thank you can you give me information on museums in the east side']"
u-38,"['yes please can i get a reservation for the same group of people on the same day we ll be staying 4 nights', 'great may i have their postcode please', 'ok how about vietnamese food', 'i just need the area it is located in and the phone number please', 'i will be leaving from kings lynn', 'that s it can you make a reservation for me there are 5 of us and we would like to reserve sunday at 1145 if possible', 'no preference whichever one you recommend', 'as long as it is in the same area it does nt matter please recommend one i want its postcode and entrance fee as well', 'it does nt matter with internet i need to book for 6 people 5 nights on wednesday is that possible at all', 'i will be traveling on saturday and want to leave from peterborough']"
u-39,"['i m also looking for a restaurant called the golden curry can you help me book a table there', 'i do nt care about any particular area to be honest', 'does it have wifi', 'oops before we move on to the train i forgot to ask what is the address and postcode for castle galleries', 'sure i need a hotel that is moderately priced that is in the north area', 'are there any russian restaurants in the west at all forget it being expensive', 'can i get the postcode for it as well', 'yes please and thank you i d like to learn about the train schedule if you can help me with that i ll be traveling from london king s cross to cambridge', 'that is everything thank you so much for your help', 'nope that s it thanks']"
u-40,"['i need to leave after 1930', 'some type of fancy architecture would be neat', 'i am looking for information in cambridge a a place to dine', 'that is everything i needed for today thank you for your help', 'whichever you recommend can i have the phone number postcode and address please', 'and the reference number', 'yes please i need the phone number for the children s surgical and medicine department', 'i need to book a train from cambridge and norwich on wednesday and i need to be there at 1530', 'does the hotel have a star rating of 0', 'i would like to book 5 people for 5 nights the same day']"
u-41,"['great thanks that s all i needed', 'that sounds nice also can you give me information about the lensfield hotel', 'yes please book it for friday for 6 people at 1500', 'i guess moderate would be better', 'i also need a place to stay i would like a hotel with 4 stars and free parking', 'not really can you tell me about what s available', 'i m also interested in finding a good chinese food place near the hotel can you help me find one', 'i need a train that leaves afer 2115 and departs from cambridge', 'i need to catch a train on thursday departing from birmingham new street', 'actually i d like european food please']"
u-42,"['i will take the 521 can you please give me the travel time train id and price', 'i think that is all thank you good bye', 'i d like to leave the hotel by 1030', 'i am looking for a place to stay the hotel should have a star of 4 and should be in the type of guesthouse', 'no i do nt have a preference but i want something in the west and is expensive can you suggest one', 'i want something expensive', 'thanks what can you tell me about the parks in town', 'what is the address and phone number', 'are there any museums in the centre of the city', 'on the swimming pool what s the phone number and entrance fee']"
u-43,"['no that is it thank you', 'i will depart on wednesday', 'thank you so much have a wonderful day', 'i m heading to leicester i need to get there by 2100', 'i m looking for a restaurant called restaurant two two', 'i also need a taxi ill need to leave club salsa by 1545 and go to bridge guest house', 'no that is all thank you for the help', 'awesome can you also help me to book a taxi from the hotel to the attraction i want to leave the hotel by 2445', 'i want to go to bishops stratford and arrive by 815 in the evening could you tell me the train options', 'i d like some information about the el shaddai']"
u-44,"['yes please book for 2 people for 3 night starting sunday', 'ok i d like to stay in the city centre i guess a college will do can you give me the postcode for one that you would recommend', 'i also need to find a hotel i m looking for one in the east with free wifi', 'how about a different restaurant in the area and price range', 'yes i d love to have their phone number postcode and area please', 'i would like to go to london liverpool street and arrive at 1745 on sunday', 'i need reservations for 2 people at 1330 on saturday', 'what is the price range of that restaurant', 'great could you book one of those for sunday for me', 'is the system back up can you make that booking i asked for']"
u-45,"['i am trying to find info for the addenbrookes hospital gastroenterology department', 'could you give me the phone number and address for downing college please', 'yes i d like to stay in the south part of town please', 'jesus lane really okay that s about it but can you confirm the church event is happening on monday', 'thank you can i have the postcode', 'thanks so much that was all i needed', 'last thing i need is a taxi from clare college to the hotel and i need to leave by 1630', 'great i m also looking for a tuscan restaurant in the centre of town too', 'are there any places that serve gastropub food', 'that s all i needed for today thanks a bunch bye']"
u-46,"['sorry this is the husband im taking over the call my wife is too indecisive please book us for nandos at 1345 on tuesday for 5 people thank you', 'that will be fine i need the address please', 'please book for 4 people and 4 nights starting from tuesday', 'what is the postcode and address', 'i actually need a reservation for 1 person for 5 nights on wednesday', 'have a great day', 'no and it also does not need free parking', 'thanks what is the postcode', 'will need a train to arrive by 1745 and should leave on friday', 'no that will be all thank you']"
u-47,"['could i have the address and phone number', 'do nt worry about booking me i need to get a ride to the restaurant though', 'any area is fine do you have a favorite maybe we can check that one out which one do you like', 'we re not picky as long as it s on the same day at around 1700 for 3', 'do they have free parking', 'find me the departure time please', 'i will stay in the west area of town', 'what is their phone number', 'that will be all thanks', 'could you tell me if acorn guest house is in the moderate price range']"
u-48,"['no thank you that will be all', 'are you sure there is no place to stay that is expensive and in the north', 'yes please and provide me with the reference number as well', 'yes i also need a taxi to go between the two i want to leave the hotel by 2045', 'that is great can you also find me a hotel with a 0 star in the same area as the theatre', 'i am looking for a good hotel in north cambridge', 'i am looking for places to go in the south part of town', 'what do you mean you re the one who recommended it', 'no thank you goodbye', 'hello i d like some information about a place to go in the west']"
u-49,"['no thanks that is enough for today', 'what about a 4 star located in the east the only has free parking internet it does nt really matter either way', 'i need to find a hospital please with a infusion service department', 'i d like to leave the museum in time to get to the restaurant on time', 'yes i would like a reservation for 5 people and book me a taxi that leave the restaurant by 1615', 'no address needed thank you i have all the information i need', 'yes what is the entrance fee', 'oh silly me i guess that information would help would nt it i need to depart from peterborough and arrive in cambridge please', 'yes please for 3 people on tuesday', 'no thank you']"
u-50,"['i am looking for a place to go in town', 'that sounds perfect thank you for your help', 'i will be needing a taxi from broxbourne train station']"
u-51,"['i m looking for information on worth house', 'i m not sure can you give me the address and post code', 'thanks one more time lets end this conversation please', 'great that is very helpful thank you', 'i am also looking for a train that goes to kings lynn leaving after 1230 i would prefer it to leave on tuesday and depart from cambridge', 'i ll also need a cab from the church to the restaurant please', 'i am looking for a restaurant', 'thank you for your help', 'thank you very much', 'thank you i also need a german restaurant']"
u-52,"['i am trying to find a hospital that has a transplant high dependency unit', 'i am looking for a place to stay the hotel should have a star of 4 and should include free parking', 'i need a table for 2 people at 1745 on sunday please', 'are there any colleges in the south', 'i only need one ticket today', 'yes that sounds perfect can you purchase 7 tickets for me please', 'great i also need a taxi from the attraction to the restaurant and want to arrive by the reservation time', 'could you also forward the postcode and address to me', 'great can you give me their phone number area and address please', 'thanks so much good bye']"
u-53,"['that s it for today thank you', 'thank you that is all i need', 'i ve just been robbed and i need some help', 'just one', 'i do not need to book it all i needed was that info today thanks', 'i also need a taxi to get me between the gallery and restaurant i want to leave the restaurant by 1315', 'do nt care as long as it has free wifi and parking', 'hi there i d like to find a place to stay it does nt need to have any stars but i m willing to pay a moderate amount of money', 'how are you doing today i need to find a hotel on the north side of town that offers internet at no extra charge', 'how interesting that there s no entertainment in the centre of cambridge sound like a fun town perhaps there is a college i could visit']"
u-54,"['i would like to book it for thursday for 8 people for 1345', 'hello i m looking for an museum', 'as long as it s 4 stars with free parking any type of hotel works', 'yes please book a ticket for one', 'okay thank you very much', 'i would also like to know about a fun place in the middle of town', 'friday the same day please', 'thanks i know that nusha is the south but i need the name of the area', 'i m looking for a place to stay in the north that offers free parking', 'yes i d like to book for 4 people and for 4 nights starting from friday can you check availability']"
u-55,"['great i am also looking for a place to stay in the north', 'okay i will need to book for 8 people for 4 nights starting from sunday', 'no that s all i need have a good night', 'yes can you please book me for 3 people and get me a reference number', 'are there any wonderful museums in town i just need the address of one that you would suggest', 'i want to leave after 2015', 'hi i need a hotel that is in the east i do nt need free parking', 'thank you can you also find a restaurant called ian hong house', 'i need to go to broughton house gallery', 'yes what is the entrance fee and could you find me a restaurant in the moderate price range located in the centre town']"
u-56,"['how about modern european food', 'are any of them 4 star guesthouses', 'i also need to find portuguese restaurant in the south', 'would you be able to find me a train leaving on sunday', 'i need to book a table for 7 people at 1600 on tuesday', 'that s all i needed thank you', 'you have covered everything thank you', 'i am looking for an expensive hotel', 'awesome that s all i needed thanks', 'okay i m looking for a restaurant that serves international food and needs to be in the same price range as the hotel']"
u-57,"['i m at kettle s yard and need a taxi to pick me up by 1930', 'i am looking for a hospital in town', 'no he taxi should depart from hotel du vin and bistro', 'i d also like to line up a place to eat if you could help me with that', 'yes please i need a table on friday at 1230 for 3 people please', 'sure could i get the address please', 'no that s all i need thank you', 'yeah can you get me a ticket', 'as long as it has free wifi i ll be happy', 'can i get their postcode']"
u-58,"['that sounds lovely i would like to book it for saturday for 7 people at 1415', 'and what s the travel time on that', 'yes the address would be great thanks so much', 'sure i d like a table for 2 at antolia on thursday at 1345', 'it will be for 1100 on the same day', 'i need a train on thursday that ll arrive by 1800 traveling from leicester to cambridge', 'i am interested in italian food however i just remembered i need the phone number for whipple museum of history and science please', 'yes i am looking for one in the east and it should be guesthouse type', 'yes can you please and send me a reference number thank you', 'not really just close to the restaurant can you give me the address of the one you recommend']"
u-59,"['i want to leave from london liverpool street', 'yes what is the postcode and phone number also i am needing a 4 star hotel in the same area can you check if one is available for me', 'same group of people at 1230 on the same day', 'no that s all thank you goodbye', 'i ll repeat this the hotel should be in the moderate price range and it should include free wifi and free parking i do nt care about the area', 'as long as it has everything i ve been asking for i m good', 'i really need to stay in the east can you check again', 'i want a hotel for 3 people and 2 nights with free parking is there nothing in the city that fits those requirements', 'are there any available for less than 200 a night', 'i need to take a train from cambridge to stansted airport i need to arrive by 1445']"
u-60,"['let me know about your italian restaurants', 'can i have the address and postcode for magdelene college', 'yes please book it for 3 people for 2 nights starting from thursday also provide the reference number', 'do you have information about attractions in the west', 'i would like a moderately priced restaurant that serves english food', 'thank you that is all have a nice day', 'yes can you book it for me', 'how about one that serves food from the americas', 'i need to leave the hotel by 1615 thanks', 'what is the address']"
u-61,"['any price range is okay with me', 'i m looking for an entertainment attraction in the centre can you suggest something for me', 'i need a place to stay in the centre that includes free wifi', 'that should be fine i also want some other places to go nearby', 'i also need a four star place please', 'i think that will work what is the ticket price and travel time for that train', 'awesome what about reference number', 'that is all i need thank you', 'oh darn it how about one that offers european food', 'i need a train on friday arriving by 1215']"
u-62,"['the does sound good can you tell me the rating on this place too', 'give me the phone number too', 'first of all i need a train to get there from london kings cross can you help find one', 'wonderful thank you so much for your help', 'any of them a type of guesthouse', 'no that s all the info i needed today goodbye', 'yes please 6 guests at 1800 on wednesday', 'i will need their phone number also', 'how about just any guesthouse in the south then', 'i would like to go to norwich']"
u-63,"['yes please 4 people at 1100 on friday can you please provide me with the reference number', 'i would like to book a table on thursday for 6 people at 1330', 'i ll be leaving from bishops stortford on saturday and i need to get to cambridge at or a little before 1400', 'great thank you so much', 'yes i would like you to book me a room thanks', 'yeseastside london', 'i would like to go to norwich', 'awesome that will be everything', 'the area does nt matter i prefer a guesthouse any one you recommend will be fine', 'please do the booking for metwo persons']"
u-64,"['thank you for helping me book a table for 4 at prezzo and providing the reference number', 'i want to find a restaurant in any area and servings persian food', 'i want to go to the riverboat georgina please', 'could you tell me the phone number of saigon city', 'i will be leaving cambridge heading to norwich', 'i would like a 4 star hotel that is priced moderatly i do nt have preference in the part of town', 'that would be great can you also give me the postcode', 'how about european food then', 'need a certain restaurant called stazione restaurant and coffee bar', 'from chiquito restaurant bar']"
u-65,"['how about just entertainment instead', 'i want to leave after 0845 please', 'wait this is for 3 people are there enough available seats', 'sorry do nt want to book right now but i do need a taxi to get between the attraction and the hotel', 'that sounds good can i get the address phone number and price range please', 'i need to be picked up from the cambridge corn exchange', 'i m looking for for a cinema in the south can you give me some information on cinema s in the south', 'great that s all i need thanks so much for your help have a great day', 'no that will be all thanks', 'i ll be departing from cambridge and i need to arrive by 1200']"
u-66,"['not now i am also looking for a place to dine', 'can we search for portuguese instead', 'no that will do it thanks a lot goodbye', 'yes i am looking for a train leaving cambridge arriving by 1230 on wednesday to bishops stortford', 'could i get a postcode and a phone number', 'no thanks i just need the phone number address and postcode', 'ok that is all the information i need i ca nt book it quite yet thanks for all of your help have a nice day', 'i will be dining there on friday', 'i do nt care', 'hi i m looking for some interesting attractions especially museums on the west side']"
u-67,"['i m sorry i need that taxi to take me from the hotel to the restaurant i need to arrive at 1330', 'thanks for all of your help', 'i ve mixed up my locations i actually need a train that departs from cambridge and goes to stevenage', 'okay how about indian food', 'in the centre please', 'thank you i also need an expensive place to eat in the center preferably one that serves african food', 'thanks have a good rest of the day', 'i ll be checking in on monday', 'no that s all i needed today thanks for your help bye', 'i want to leave from the college by 2145']"
